me2in,in2me,me2ren,ren2me,me2yan,yan2me,me2work,work2me,me2out,out2me
391,690,0,0,14,5,7,13,0,12
698,528,2,5,12,5,5,9,0,2
587,533,3,3,10,3,2,11,0,2
424,540,5,2,7,2,1,5,0,4
553,534,5,3,16,3,2,6,0,3
605,532,1,2,10,8,9,10,0,0
765,525,1,0,10,7,5,10,0,2
425,540,3,2,12,4,3,11,0,3
558,534,6,3,9,2,5,8,0,2
536,535,3,1,13,3,1,12,0,4
579,533,6,1,17,8,6,8,0,0
534,535,3,1,9,4,1,10,0,2
492,537,6,1,10,6,5,9,0,1
442,539,7,0,7,3,2,15,0,0
463,538,1,0,11,4,6,11,0,2
510,536,3,1,12,5,5,12,0,1
580,533,6,1,12,6,7,16,0,3
537,535,3,3,13,4,1,10,0,2
369,542,3,3,14,3,1,14,0,4
580,533,5,3,10,3,0,8,0,4
534,535,5,3,13,6,2,11,0,1
563,534,3,0,12,4,1,8,0,0
651,530,3,1,11,5,3,9,0,1
607,532,4,0,14,4,3,5,0,0
