me2in,in2me,me2cai,cai2me,me2ren,ren2me,me2work,work2me,me2out,out2me
67,36,0,0,0,0,2,1,0,18
69,125,0,0,0,0,2,22,0,1
157,233,0,0,0,0,3,18,0,4
137,52,0,0,0,0,2,1,0,13
142,183,0,0,0,0,2,15,0,8710
4,8,5,14,1,5,0,220,0,21
65,31,0,0,0,0,0,1,0,16
64,97,0,0,0,0,1,15,0,0
146,186,0,0,0,0,2,2,0,2
135,119,0,0,0,0,4,18,0,10290
105,99,0,0,0,0,3,14,0,10367
47,101,0,0,0,0,2,12,0,3
78,107,0,0,0,0,0,1,0,2894
94,309,0,0,0,0,1,17,0,2897
187,228,0,0,0,0,0,24,0,4
167,287,0,1,0,0,5,1,0,2
114,103,0,2,0,0,2,1,0,2
418,273,2,0,0,0,2,4,0,1
118,78,0,0,0,0,1,1,0,1
35,32,0,2,0,0,3,2,0,5
210,257,0,0,0,0,2,18,0,3
136,214,0,0,0,0,5,24,0,7
21,52,0,0,0,0,3,16,0,4
116,116,0,2,0,0,0,0,0,4
57,82,1,2,0,0,7,2,0,0
148,134,2,2,0,0,5,1,0,0
78,189,0,0,0,0,2,0,0,1
159,164,0,0,0,0,1,2,0,2
256,282,1,1,0,0,2,1,0,1
154,165,0,0,0,0,3,2,0,3
154,236,1,3,0,0,2,2,1,2
116,86,0,1,0,0,1,4,0,1
142,88,0,0,0,0,4,0,0,2
100,85,1,5,0,0,5,3,0,3
165,243,0,0,0,0,0,2,0,2
104,150,0,5,0,0,3,2,0,2
262,229,0,1,0,0,1,1,0,4
166,164,0,1,0,0,4,0,0,3
82,88,0,0,0,0,1,1,0,1
82,98,0,1,0,0,7,2,0,3
69,64,0,2,0,0,2,0,0,2
135,113,0,4,0,0,1,1,0,4
50,90,0,0,0,0,2,16,0,2893
138,205,0,0,0,0,0,11,0,3
108,129,1,0,0,0,3,3,0,2
302,226,1,3,0,0,3,0,0,1
126,190,2,0,0,0,3,1,0,0
74,126,0,0,0,0,2,2,0,1
183,130,1,0,0,0,2,3,0,2
277,192,0,1,0,0,3,3,1,1
108,239,0,3,0,0,5,0,0,1
189,179,0,1,0,0,5,3,0,1
185,218,0,0,0,0,1,1,0,2
84,88,0,0,0,0,1,1,0,1
152,128,0,1,0,0,4,2,0,0
153,170,0,0,0,0,4,0,0,2
67,64,0,0,0,0,0,0,0,0
108,133,0,0,0,0,2,1,0,2
150,128,0,2,0,0,0,2,0,4
201,165,0,0,0,0,4,1,0,1
174,125,1,0,0,0,2,0,0,3
95,140,0,1,0,0,3,2,0,1
202,198,0,1,0,0,3,2,0,3
80,108,1,2,0,0,3,1,2,2
145,157,0,0,0,0,0,2,0,2894
97,120,0,0,0,0,2,16,0,2
141,128,1,1,0,0,1,1,0,2
135,129,0,1,0,0,1,0,0,1
239,283,1,1,0,0,0,1,0,3
97,58,0,0,0,0,2,2,0,0
61,92,0,0,0,0,2,14,0,5
138,135,0,3,0,0,2,0,0,1
179,180,0,3,0,0,5,2,0,0
134,125,0,1,0,0,2,1,0,2
310,279,0,2,0,0,2,0,0,0
157,155,0,0,0,0,3,1,0,1
118,138,0,0,0,0,2,13,0,2893
106,146,0,0,0,0,4,1,0,2896
83,91,1,0,0,0,0,0,0,3
107,163,0,0,0,0,5,1,0,4
137,157,0,1,0,0,2,1,0,1
259,178,0,0,0,0,4,1,0,1
81,68,0,0,0,0,3,1,0,2
111,93,1,1,0,0,8,3,0,1
257,282,0,1,0,0,2,0,0,1
147,134,0,1,0,0,2,1,0,3
363,346,0,0,0,0,2,17,0,4
104,192,0,0,0,0,0,9,0,3
76,186,0,0,0,0,2,9,0,6
170,114,3,3,0,0,1,2,0,1
187,199,0,0,0,0,2,0,0,1
319,225,2,3,0,0,1,0,0,1
161,164,1,4,0,0,2,0,0,2
52,78,1,0,0,0,2,0,0,2
241,161,0,1,0,0,0,2,0,4
279,192,0,0,0,0,3,1,0,4
173,163,0,0,0,0,0,1,0,2
92,188,1,1,0,0,0,1,0,0
99,169,2,2,0,0,0,2,0,3
138,135,0,0,0,0,1,0,0,0
131,62,0,0,0,0,1,1,0,0
126,167,2,1,0,0,2,1,0,3
225,176,2,2,0,0,2,2,3,1
55,74,1,2,0,0,4,1,0,3
80,108,1,4,0,0,0,1,0,1
147,134,0,2,0,0,4,3,1,1
158,155,1,0,0,0,4,3,0,2
152,165,0,0,0,0,4,2,1,2
47,92,0,2,0,0,1,3,0,1
113,133,2,1,0,0,0,2,0,3
174,163,0,1,0,0,4,1,0,1
255,282,0,1,0,0,2,3,0,3
68,81,0,2,0,0,4,2,0,2
93,59,0,1,0,0,4,1,0,3
168,186,2,1,0,0,6,2,0,2
237,285,3,2,0,0,0,1,1,4
123,85,0,1,0,0,2,4,0,2
126,158,0,1,0,0,1,1,0,2
122,120,0,0,0,0,4,1,0,17
41,105,0,1,0,0,4,5,0,2
149,117,0,0,0,0,0,0,0,2
101,134,1,2,0,0,1,1,0,2
173,163,0,1,0,0,6,1,0,1
117,103,1,1,0,0,0,1,0,2
128,130,0,0,0,0,2,2,0,5
346,277,0,1,0,0,2,3,0,3
73,87,1,1,0,0,6,2,0,2
66,93,0,0,0,0,2,2,0,2
202,183,0,0,0,0,5,0,0,2
214,232,0,1,0,0,3,3,0,1
147,145,1,2,0,0,5,2,0,2
40,29,2,1,0,0,1,2,0,2
81,85,0,2,0,0,3,1,0,2
115,131,0,2,0,0,4,2,0,2
139,172,3,1,0,0,1,0,3,1
231,158,0,1,0,0,1,2,1,3
62,65,0,1,0,0,2,1,0,2
81,108,0,2,0,0,3,2,0,1
215,232,0,2,0,0,1,0,0,1
114,116,0,3,0,0,1,0,0,2
275,281,0,4,0,0,2,0,0,3
215,182,1,3,0,0,4,1,0,3
183,167,0,2,0,0,2,1,0,1
238,283,0,0,0,0,6,0,0,2
155,144,0,3,0,0,2,2,0,3
119,103,0,1,0,0,1,0,3,2
212,150,0,1,0,0,0,1,0,0
245,174,0,0,0,0,5,0,1,0
110,72,1,2,0,0,0,0,0,0
146,145,0,3,0,0,0,1,0,1
142,171,0,0,0,0,3,2,1,0
160,110,1,0,0,0,3,1,2,3
81,91,0,1,0,0,3,2,0,3
79,78,1,1,0,0,2,2,0,1
97,82,2,0,0,0,2,0,0,2
151,165,1,1,0,0,1,2,0,1
39,71,2,2,0,0,4,3,1,3
107,117,1,0,0,0,1,1,0,0
239,162,0,1,0,0,4,4,0,1
289,280,0,0,0,0,2,2,0,3
52,180,0,1,0,0,1,2,3,4
126,137,0,4,0,0,3,2,0,2
190,184,0,1,0,0,3,1,0,4
173,169,2,2,0,0,2,0,2,0
263,193,1,0,0,0,6,1,0,0
156,144,1,4,0,0,0,1,1,0
173,163,0,1,0,0,2,1,0,0
106,84,0,2,0,0,4,0,0,0
258,229,0,2,0,0,1,0,0,4
94,133,1,2,0,0,0,1,0,2
116,121,0,1,0,0,4,2,0,4
201,183,0,1,0,0,4,1,0,0
84,98,0,1,0,0,5,5,0,1
124,81,0,0,0,0,1,3,0,0
113,133,0,1,0,0,7,50,4,4
243,230,0,0,0,0,0,0,0,1
166,186,1,0,0,0,2,1,0,0
170,186,1,1,0,0,4,0,0,1
101,123,3,0,0,0,3,4,0,3
182,180,0,0,0,0,0,0,3,6
109,132,0,0,0,0,2,1,0,1
212,232,1,2,0,0,4,0,0,2
92,119,0,2,0,0,2,2,0,2
113,159,0,2,0,0,1,1,3,3
203,160,1,2,0,0,0,0,0,2
73,63,0,4,0,0,5,3,0,1
271,281,0,2,0,0,2,1,0,0
213,120,0,2,0,0,3,2,0,2
54,74,2,2,0,0,1,1,0,0
169,143,1,2,0,0,1,1,0,1
135,166,0,2,0,0,0,3,0,3
42,29,2,1,0,0,2,1,0,0
156,97,1,1,0,0,1,2,0,0
176,163,0,1,0,0,2,2,0,2
77,73,0,0,0,0,1,1,0,3
106,87,0,1,0,0,1,1,0,2
193,129,0,1,0,0,1,1,0,0
305,226,0,1,0,0,6,0,0,3
291,280,0,1,0,0,2,2,0,3
224,196,0,1,0,0,1,1,0,0
179,153,0,0,0,0,2,2,0,0
67,90,0,2,0,0,2,1,0,3
116,121,1,0,0,0,3,2,1,0
253,282,0,0,0,0,3,1,0,2
294,280,0,0,0,0,1,0,0,2
87,59,1,2,0,0,2,2,0,1
176,153,1,2,0,0,1,0,0,0
142,128,0,0,0,0,9,2,0,0
176,200,0,0,0,0,3,0,0,2
234,175,0,1,0,0,0,4,1,3
159,201,0,1,0,0,6,3,0,0
136,125,1,0,0,0,7,1,0,0
417,273,0,1,0,0,2,1,0,1
232,180,0,0,0,0,0,3,0,2
85,132,0,3,0,0,3,1,0,3
217,159,0,1,0,0,6,2,0,0
162,187,1,0,0,0,2,0,0,2
144,145,0,3,0,0,2,1,0,2
179,153,0,0,0,0,0,2,0,3
189,179,2,0,0,0,0,1,0,1
156,144,0,2,0,0,0,0,0,2
175,125,2,0,0,0,0,2,0,0
214,177,1,0,0,0,1,1,0,0
183,199,0,0,0,0,2,2,0,2
164,121,0,0,0,0,0,1,0,0
165,143,0,1,0,0,3,0,0,2
227,231,0,4,0,0,1,1,0,2
135,203,0,2,0,0,2,3,0,1
115,116,0,2,0,0,2,1,0,2
196,166,0,3,0,0,4,0,0,3
170,154,3,1,0,0,1,2,0,1
145,202,0,1,0,0,4,3,0,1
174,125,1,0,0,0,6,1,0,3
184,162,0,0,0,0,2,3,0,2
140,125,0,2,0,0,0,1,0,1
156,155,0,0,0,0,3,2,0,1
183,199,0,0,0,0,3,1,1,3
306,226,1,1,0,0,2,0,1,2
217,159,1,1,0,0,1,2,1,1
199,161,0,0,0,0,4,2,0,1
63,76,0,0,0,0,4,0,0,0
148,165,0,0,0,0,4,5,0,2
294,227,1,2,0,0,0,1,0,3
111,60,0,0,0,0,0,2,0,1
125,127,0,2,0,0,2,1,0,1
72,92,0,3,0,0,2,1,0,1
47,68,0,1,0,0,7,0,0,1
107,135,0,2,0,0,2,45,4,19
214,177,1,1,0,0,2,1,1,2
127,167,0,0,0,0,2,3,0,0
201,198,1,1,0,0,4,1,0,3
241,230,1,3,0,0,1,0,0,1
97,95,0,1,0,0,3,1,0,0
218,284,0,1,0,0,1,3,0,2
96,74,1,1,0,0,3,1,0,0
157,116,0,0,0,0,2,3,0,1
