L_1007,L_1013,L_1041,L_1057,L_1058,L_1059,L_1060,L_1067,L_1068,L_1079,L_1080,L_1087,L_1092,L_1096,L_1098,L_1100,L_1101,L_1102,L_1103,L_1104,L_1106,L_1108,L_1110,L_1112,L_1113,L_1115,L_1118,L_1119,L_1124,L_1125,L_1126,L_1127,L_1129,L_1130,L_1132,L_1134,L_1135,L_1137,L_1139,L_1140,L_1141,L_1142,L_1143,L_1145,L_1147,L_1148,L_1149,L_1150,L_1151,L_1152,L_1153,L_1154,L_1155,L_1156,L_1159,L_1163,L_1164,L_1165,L_1167,L_1169,L_1170,L_1171,L_1172,L_1173,L_1174,L_1175,L_1176,L_1177,L_1178,L_1179,L_1180,L_1181,L_1182,L_1183,L_1184,L_1186,L_1189,L_1191,L_1192,L_1193,L_1194,L_1195,L_1197,L_1199,L_1200,L_1202,L_1204,L_1205,L_1206,L_1207,L_1209,L_1210,L_1211,L_1213,L_1216,L_1217,L_1219,L_1220,L_1221,L_1223,L_1224,L_1226,L_1228,L_1230,L_1231,L_1233,L_1234,L_1238,L_1239,L_1241,L_1243,L_1244,L_1245,L_1246,L_1248,L_1249,L_1251,L_1252,L_1253,L_1254,L_1255,L_1257,L_1261,L_1262,L_1263,L_1265,L_1267,L_1268,L_1270,L_1273,L_1274,L_1275,L_1277,L_1278,L_1279,L_1281,L_1282,L_1283,L_1284,L_1286,L_1287,L_1290,L_1291,L_1293,L_1295,L_1296,L_1297,L_1299,L_1300,L_1301,L_1303,L_1304,L_1305,L_1306,L_1307,L_1308,L_1311,L_1312,L_1313,L_1314,L_1315,L_1319,L_1321,L_1322,L_1323,L_1324,L_1325,L_1326,L_1327,L_1328,L_1330,L_1332,L_1333,L_1334,L_1336,L_1338,L_1339,L_1340,L_1342,L_1343,L_1344,L_1345,L_1346,L_1347,L_1348,L_1349,L_1350,L_1351,L_1352,L_1354,L_1355,L_1356,L_1357,L_1359,L_1360,L_1361,L_1362,L_1363,L_1364,L_1365,L_1367,L_1368,L_1369,L_1370,L_1371,L_1373,L_1374,L_1376,L_1378,L_1379,L_1380,L_1381,L_1382,L_1383,L_1384,L_1385,L_1388,L_1389,L_1390,L_1391,L_1393,L_1394,L_1395,L_1396,L_1397,L_1398,L_1399,L_1401,L_1402,L_1403,L_1404,L_1405,L_1406,L_1408,L_1409,L_1410,L_1411,L_1416,L_1417,L_1420,L_1421,L_1422,L_1423,L_1424,L_1425,L_1428,L_1429,L_1431,L_1433,L_1434,L_1435,L_1436,L_1438,L_1439,L_1440,L_1444,L_1445,L_1446,L_1449,L_1450,L_1451,L_1455,L_1456,L_1457,L_1458,L_1459,L_1460,L_1461,L_1462,L_1464,L_1465,L_1466,L_1467,L_1469,L_1470,L_1471,L_1473,L_1474,L_1475,L_1477,L_1478,L_1480,L_1481,L_1482,L_1483,L_1484,L_1486,L_1487,L_1489,L_1490,L_1491,L_1493,L_1494,L_1495,L_1496,L_1497,L_1498,L_1499,L_1500,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270029827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150010763,0,0,0,30010870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8339,0,0,0,0,9436,0,0,0,0,0,1827,0,0,180009308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14240,0,0,0,0,0,0,0,0,0,0,0,0,0,8186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13337,240014275,0,60010580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,136,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,90008240,10948,0,160,5287,0,300012929,0,0,1224,0,120020591,0,0,0,0,0,210031726,17046,0,1753,11762,0,0,7505,6235,0,60032377,0,6548,15083,0,0,0,0,150013033,8978,14982,0,0,240014203,0,0,0,0,120018111,22113,0,300012797,0,0,0,0,10822,0,0,0,0,6274,8524,0,0,120018314,90010810,84,0,0,270016547,180025037,3653,3567,0,1111,15931,0,30007769,125,150024428,6976,0,0,0,0,26260,176,152,1805,0,0,0,0,9192,1647,0,0,0,17541,0,0,240021161,0,0,0,630028106,0,31066,0,90011044,0,152,0,11155,0,0,30010550,0,0,0,60021498,12769,0,0,0,0,0,90014401,0,0,0,0,0,11775,0,60016455,0,0,7497,0,125,9298,9555,0,0,0,30017107,0,210029953,0,360027805,8973,180004838,0,0,60006230,0,330010935,14966,0,0,0,6208,0,9256,3749,0,146,3991,240014506,0,0,240008700,120019810,0,180019797,0,150007879,0,0,7922,5591,0,0,60015358,0,0,0,0,0,0,0,0,132,0,0,0,180016546,0,0,180019496,0,0,13672,150011085,0,0,24795,12976,0,0,3015,480038507,4792,60008547,0,0,240009386,0,760,2632,150017754,9048,0,0,4017,210026303,30018470,0,0,7444,0,4522,180013218,5796,0,0,0,19417,132,0,0,0,0,0,6478,13507,0,0,19158,270024648,5997,450015959,0,5671,0,0,0,0,390030459,0,6119,0,30012028,0,0,0,180027563,0,6549,10894,0,3099,15839,5279,0,0,420039418,274,23775,8678,210017819,3989,0,0,0,0,
0,279,0,0,8432,0,630024588,0,10978,210016710,7620,0,270021233,150021788,60019310,120012787,144,210016180,150017712,495391,210016278,4505162,255,14627,480045075,8945,0,0,21283672,0,327,432,10051,210010729,90038968,390024335,142,9055664,30024111,570018156,3903,390029778,175,90031448,360030826,11365,0,8126,12499,240024618,180023167,120016487,13226,420027577,150029854,178,10673,181,300019060,300017805,4703,210021546,12462,8645,0,0,180019716,24549,17044,240023484,0,4875,240024616,16136,5717219,150,90038423,150030947,25457,240013042,0,0,180013220,720024363,120007734,332,14227,497,5436,360039235,180022729,240018498,240042366,3171925,30011866,150014381,3075,180013723,360030499,15279,270016248,9283132,30633,0,4274,3842,240012475,0,0,90014646,150015671,30009501,180015805,210005611,13759552,9493970,174,267,3833065,180014933,0,300028260,7490,600030064,120023083,210006571,270021350,6644,120057362,90007149,240006473,90019094,7595,4727,180014491,360034176,24205,120018391,180022352,16907,0,0,8558,0,352,270024579,240007116,25731,2010653,180015689,210012581,180012285,30016589,240026175,120017007,28954,180018379,349537,120000448,180018485,9716,90032708,4450,120023833,24463,180012738,182,15228,385,270030457,210014902,150012499,6372,450026678,6874,9223,10145,6035,0,16672,13083,180011169,0,5178597,14552,540019758,120026245,480045774,0,180017089,7987,27817,270022577,450024943,9605,4060,120029234,0,8544,15239,300023555,11367196,4304008,1120034,6531273,18641,9211,240011885,371,20136,7315,8949,210013674,1020043394,210008332,5491,150028703,2345,6530,120008127,5412,150015446,7880,240010129,360032103,2712,390041777,10394,4609,270021116,210022321,5229,10802,300010106,300018096,240027139,90006747,60017307,150016607,9954,9851,270025380,120021404,0,450027392,330026297,420022801,5677541,0,150018633,480055444,16608,2849,0,90022618,60018142,6095,60018616,180014551,15135,0,14217,1186,2718,31480,360048658,240007708,150012288,60022966,180048187,390019914,7844,5902920,90013767,180039043,0,13051447,16805,180019855,870039330,0,27905,420022245,1322,480032343,570031985,240015888,13846,210011393,300031742,60032328,180036497,300016061,90029938,16383,150021282,216,0,13794,
0,31987365,0,7748899,15004318,0,9148814,0,13598270,1201,120005384,0,184,19900514,5840794,5995060,3427138,0,2856256,39107551,15569,22579449,54762238,7074832,23602223,11393286,61260922,1332647,34218453,0,14526987,14317230,10950639,276,16953364,27674421,584892,52749506,0,13224870,2977575,821971,11294288,0,5881914,0,49874547,3651052,13967793,11563854,14310472,170497788,4763880,16675424,127993028,2448958,0,68072245,11542149,271,11211745,10345105,42848193,0,42437691,6435921,171,123675,0,6704829,0,14643965,13463377,165,2752130,6756168,2347217,0,66564434,200,12464750,21589547,6704924,8399353,5012178,2932604,7551622,15431885,0,4678352,8259602,13442949,0,3329878,20860477,1507,7918949,184,0,8640586,0,30199281,349,0,0,6970134,237358,0,20193827,2485089,13282050,18101465,6032874,16020301,49525206,72218500,16810157,4536796,6650029,189,25921320,5070706,6100033,12200566,352,0,6637778,0,125,4373206,14747296,9828889,25332888,12822948,5673991,0,0,0,6034,17676481,7873927,3600279,8087,4702586,43541951,4570164,0,6727999,36112775,0,480043970,173,7187,14023044,4865617,13528357,15268283,21643802,5225750,4314004,31241759,9847765,7064996,0,170806,14530,10071735,6356608,19636207,15271089,7531757,6472499,2738723,9607574,2747892,22698442,0,5970183,9672654,0,19893068,26299428,9868547,12073460,14882317,27581793,1371854,0,12982551,19999235,720392,0,0,15271215,9590016,327,16796314,52054834,16744753,9699243,2001674,31644625,194,25009415,34673914,12702946,0,36246522,7571822,0,15006033,13699943,49435,0,2553830,18374543,414,0,19164726,8795206,7375548,11390879,198485,13085917,15496337,2244543,10290493,18092328,15593726,9668306,0,1468178,5623488,9700517,0,2882286,33645157,13954699,14566924,1848636,0,478261,183,4717976,1643960,2259120,30003360,16683525,46404748,790952,0,13365503,120009692,21287094,170333210,24691346,210013106,833062,12129746,20501007,20399463,5664458,3536,4580109,7368812,4569628,23502322,193,0,2789554,107,0,12221260,25076150,0,7906071,15161464,12383000,17123263,7604379,10826061,0,18565363,2665,25854144,22724926,0,6052104,135,2075544,4736967,35518514,16120119,10042480,0,2414347,10509938,31288906,14541194,
0,2594733,0,264044665,50269240,261739099,316561300,0,499294595,309884109,138515745,0,58226428,69327480,381662537,150136010,45345817,473333246,283437514,11196853,402628019,33172992,32042188,724231590,38779706,241117282,17674182,61231225,11224259,0,295056263,195370230,672070377,191483471,235667482,317914965,328398318,0,397171186,243909882,299424039,15117793,114688847,580351482,32653726,76097476,29311508,398880718,250983182,13138604,95364847,591694764,172320546,266526489,25038074,151452337,486101344,17336274,253606705,21783744,149097340,358232605,125069081,640208940,89948658,921430432,605233303,285199711,69139181,281915802,0,283696483,555057748,817506183,23664739,50258965,149605106,350735557,134147965,23705722,8528494,519796071,196604925,764177019,201537392,314390407,334781966,661058698,208052417,435613579,48299436,480009506,306711661,32778802,5527316,26618477,649821343,53012100,13153262,137567572,164589987,18446722,274464494,0,40852155,59477430,8441409,0,306197377,53369022,622402953,336059623,59591011,259509291,33420928,27126902,20082515,4641184,54215758,373499643,40409113,663652849,35862878,31075123,256120974,64287977,149839762,54754795,66256437,387545389,715819491,722191281,215097500,664876362,6062488,219245827,21610402,381631398,376009024,326182672,35270773,44298621,78712104,43299763,42981807,97342612,696810,433098070,22266168,35777098,3701431,101122424,122401481,204429088,717543067,521380813,396361843,59402764,256827841,254426992,480419906,81446836,516843121,537743499,306223412,55026989,6397639,223502244,48584719,45874118,665623638,43076413,283483145,425027437,352582891,232293491,775592329,762368668,77415836,182308513,211009149,421325637,20069655,24169987,90054219,50141159,184815183,103370675,11531701,468512971,473913558,188967597,626639437,273547389,74695762,24758079,645258417,28003621,95506720,1031915764,19098621,17216643,32308072,17877247,16270471,310397649,366684570,45502904,50168191,408432996,20116081,532402940,529601675,36110862,210133653,301164760,379271846,71909177,224252763,441116470,470261638,125638294,23790391,368342741,162096008,253870299,450100350,269981811,42346165,153382106,409918708,475015193,543780202,26965520,27988150,51451284,347588960,57949228,287110228,398158326,65294489,260855515,496350329,34808428,572121725,460468625,424208740,192281,40657505,44901228,228112009,128577211,128997638,24185670,48039181,73481962,30286085,384060713,250909856,62881713,13863302,613253672,73968285,572984342,773333569,383407370,30087892,82026911,92846165,652402238,62657450,180036837,54903379,499826698,227338382,309220288,39414460,34498897,548258558,673560604,231043350,125306051,275818328,50327848,15061282,104784878,554734357,39171127,369679223,70046436,237185997,575894772,16826688,1527407,557387203,141728439,30503344,49814000,271548118,
0,17974335,0,23498080,460975322,20394302,1612538,81426764,28507422,62145717,35768934,0,321055749,40966954,247585434,17784942,324790168,306435568,5779563,56114300,65325994,45261357,15688581,65341882,205754134,35154665,46497698,137550822,25234892,0,351293768,16333366,40172085,103496,283229492,699711022,21952245,50545568,257779983,220569830,30253894,72882927,496294504,91968224,61833883,9745947,51160585,43416727,9077393,202575101,42570593,24197660,37538872,12244933,25830519,23369064,32625001,18576464,199111041,1153124,225795369,11210915,286775184,319223008,19950902,36134740,127885891,231139920,47769774,52822855,0,28846705,64332419,362993394,16094699,40290933,7647288,31930767,35035015,242082530,70264571,383566040,35061411,7549330,29324667,55374180,291683490,13287454,145903154,56177434,43833412,138976910,254578592,31582069,24794981,19227451,213440353,65215691,12322960,130256102,6556085,3541508,23919968,0,220086887,149954459,389998080,0,19980279,244253396,29957831,27419426,263297255,260064507,13514917,28279750,29568742,450091517,32270873,35465183,5077,21688933,328997987,54321499,93476148,270988368,161951775,29601766,279557957,30313986,395894074,34647886,30209049,107370980,24965253,9565399,40939701,314069835,45080450,93707819,105136996,22232005,36401835,31167551,47348131,148852299,44885088,35626312,13496580,152530449,150187763,187670886,27704289,40120593,3113315,18488491,32787603,40293315,253789601,292704785,40560378,56202055,181179104,213285974,313877674,10662602,412438558,40276946,24535512,33352798,10177248,317826345,99780235,6322734,552245737,236526958,30105541,252475181,19308150,42841900,17420569,248157969,17210615,29253554,173161773,263520296,320143396,225630650,398718112,307421948,80161796,24322199,139563248,155163324,702590082,122008840,28467441,9859249,48992476,57148601,232481781,23131560,29050290,24823470,528363,93650279,27584321,55406516,28217138,265640889,66781329,251872588,387675489,21446750,52016896,36738957,33846502,31100792,38570809,18582096,7680174,291671561,41151367,59277451,24566453,101970696,21555781,38748928,188398111,10278674,259114485,20403315,184014534,305320206,77825320,53947540,51825109,312267273,666910872,59228874,24746002,228157448,472876704,33684524,43416711,20336661,4081115,10750912,40530702,18452670,144881428,147867545,57122903,21161042,60943602,360748803,503125858,24955869,24367811,161903821,13342452,39694196,11638120,102602845,22330299,16625563,8696933,86902010,268877712,42612941,32105097,268478791,13398518,15558106,227592498,222948657,33285604,11738190,264264575,217045909,38402040,709579794,31036148,42297902,24829883,37843095,123417638,11228204,75063714,234709920,463944703,590309,379139009,28439476,4910315,26003115,31990598,28703271,32365203,
0,0,0,9325873,10070252,28408600,16371340,111387126,504964692,15650868,15561216,0,2558922,7161680,325220747,253744936,11932311,2255478,11506855,32072920,9230157,22902012,18356721,8676452,7574987,7188082,40158212,25253801,21348246,0,7253760,10866192,2463503,4762008,15129890,41620852,23277900,9984844,23742607,598017,10755393,9658697,476784,29701080,17949086,9450373,8115878,9237729,14639617,14029379,26633153,23888332,23313248,27204913,3180,55498554,5977546,22687598,14414095,38954133,4590,131739034,17813257,329964,1618697,47919460,139712602,446795,7153876,1585958,0,16358937,28161458,0,32728355,27193896,28775356,27638940,30855529,6907515,14265990,9621666,8719774,26591603,275805759,21696344,21385832,422799044,11600430,5982792,3748990,152953903,9046819,19117399,12999009,12287553,156052123,11649212,6501205,21354936,0,755341,19142699,0,72094293,13721272,15820259,0,13081818,0,14679663,12160563,115887046,224753033,15920703,12606785,17102102,245212853,1594115,14288957,14069752,16549620,463998062,3843921,29330120,28602286,10045630,14816902,3516392,8404460,407890,29561991,123291150,17532110,12094067,19726015,19979729,1168362,819650,3631581,107785453,7167770,400024765,18451206,3046565,25486118,13863056,17606313,6578321,3944698,32792031,18158229,23275949,31827545,21602768,40500728,15797886,25078391,1335163,9162500,304603,224441919,24101206,6354153,14989533,30214817,21155497,8700503,14632821,6222074,24852944,5993125,2118741,22915709,27798576,14990964,9055341,13295244,6296231,30265458,131613457,10009322,5136300,14648934,21741229,3226043,21376213,18804460,28349465,18799959,184321277,13733833,14247601,23416733,36922788,398884745,11799700,18281900,424180271,6214534,26263332,9796456,21672023,5625742,380983,4483036,14207898,28900962,4536213,23200904,12000864,10274000,303339400,12034751,9422736,40459362,11712178,23400880,18787336,9441562,32108011,16164641,3207420,17493164,3893712,15921644,6698106,23577271,7511895,13023519,455556,25280883,191663686,12263593,245698589,14393927,98599911,4888265,215264914,6750082,7786906,27624220,6641436,12338996,9658230,23916876,6370862,4393271,5548521,70862838,25669051,18496616,17455031,7742357,210251258,10645629,6839673,41088,59214600,10706222,2486604,34518526,1845400,636476980,253002091,9305706,342516,2916321,15093247,8300244,21298830,276251666,26884116,31614220,8245611,17608618,70923983,14530394,9888666,52568593,1808708,331396922,3174214,60078502,390824423,27531610,7664546,9445942,18536717,8721693,2511437,6386045,16448707,11888424,5085277,28159423,13931448,5511157,6475504,
0,28285545,0,18495015,0,40869616,3137348,0,0,7499860,120022630,0,579200529,0,3880805,545982246,640849315,162053105,620080782,50890633,237761175,5907242,0,0,49566316,222151587,28490112,240008304,35803415,0,132393796,14735638,417757781,223621403,31468921,260763191,258458058,0,42803623,76421472,355087432,82548935,132476061,150008478,103589320,5265439,22641638,90008736,40888136,718962455,592161807,33754652,4424101,203402742,174369821,108397903,32166920,68457349,95961475,33216678,40581158,12132194,64633477,90393594,177381893,17887362,282943848,420016847,341803288,301630138,0,8009423,44091464,307439182,13977816,11118392,26131382,760346650,8610199,9711670,9100,0,246206078,345311103,0,36671915,218880189,59956386,6248719,180017740,39941391,26525746,390251435,10616690,480040179,12936568,483642027,48118016,708883939,85692718,299628965,20342870,59818820,0,192306205,36262644,28616819,0,174191,90000477,17300749,6918563,335359579,215178486,9817945,39699966,5053029,218629809,24820199,48833885,2897422,44147775,19570625,296084067,679114458,31855042,9399906,25929312,50938482,29608597,302982757,68059749,964510,25796315,278872838,18932607,6699983,332533923,14857221,390018357,4970595,15753501,22034816,2960818,0,189751766,162335520,13843165,74193422,50613313,36685720,179834307,21636191,0,40051921,24023204,575919749,55662030,19437226,141,3940987,241589402,155343547,351611749,7247969,310256046,372788454,532866930,37174816,29627682,57512224,256,380394056,77302664,286400521,16888546,100899007,218712076,29529811,24708506,142562407,24805710,17945751,8987738,90049331,38439041,26687411,32554478,14271977,122050561,149416170,420039276,48550609,122758088,10042753,403315796,236136213,61315043,27927791,7834566,233236902,199,0,3061910,16995952,60217738,0,16076982,28600876,427255848,25690120,47057769,22788,8120232,13459239,2638692,9757,10603778,32279897,147069628,66059552,149175258,11868649,196231708,50432856,84593118,284657906,27607529,0,67025240,121961033,0,21808519,660031694,109406492,14640865,34873613,12587171,14680098,470983400,631963067,11118591,28991415,5722772,431804564,971843393,20408849,33842145,47134822,15082748,23558071,14023847,0,53263936,43321172,13226443,8847,435638877,35522314,93145690,46726581,233291982,29460,89849712,355017663,7755560,258901416,28921195,84559935,0,268682,127860025,0,25099891,247892918,25932144,120184804,2936903,93434643,414085570,1613,511140698,18546306,240012202,390013449,401735367,11535532,20079270,202089143,1027767,40034891,391186990,340852333,183185915,375731806,190774773,0,18551453,54711303,
0,14474874,0,11668086,297,26149684,570049417,0,0,248704944,336603822,0,537877337,7627582,0,70125530,3440,21340383,9740325,84872086,65481553,54292796,16174975,6813767,136277477,62299014,25522756,416447118,39544396,0,36493170,696047252,529490376,554021551,8342466,468611546,53933152,43737148,294188813,18211043,360045700,348723739,25149481,136186911,434772214,17952243,26365184,0,9895809,0,342318558,20444189,0,374541244,178775793,183408974,8340823,14487436,471585749,234535887,23593537,15864440,105869865,67685861,80390916,7812988,33342470,9848062,9736005,0,0,249394336,741906,391664694,16977202,14461144,3273446,311216180,716919478,34643612,11200399,0,699026574,97439604,452730020,15928987,98017293,40306570,41047450,90007797,46308116,210010115,167,44279938,361547163,435445931,27685877,30073588,34788995,20329482,559894216,36150993,607434929,0,451536444,471189688,11324501,0,10519416,448501206,147874589,2793393,478124081,29522972,23633987,39433035,15501714,269018,172266,67589876,26016542,111241421,90054091,50699820,544920685,23568817,36323,17385574,91177639,546707622,120037281,70898056,790,16986003,63915318,580112033,33765214,0,0,1770,537771415,472760292,264624676,28685564,15622348,229361288,9963,25327,26526646,276498505,94320176,37923428,5068088,7777021,5721271,134622938,18207859,44233629,211260089,5997,196648118,45054255,11323640,400017420,122394936,15262932,181697671,34936106,5380648,14162459,269438813,97538201,15439766,265250009,288066608,36298508,15940953,49796683,0,177293413,300028556,549577317,12554146,0,189929389,434930710,18076704,30018377,10074662,547546720,83154496,14570516,49646103,30534044,130051183,14726170,14770742,20309074,270587452,10447227,26241793,35901441,0,15781954,30358280,110472206,540024125,210003223,72422831,487755791,23755832,378992325,192039046,41521300,254348330,104840156,17039138,108739783,3823043,44633775,39814779,16027190,15513335,629193460,5966134,16478282,99627382,124045292,64370536,356289995,300055337,194981251,22545989,230033238,4167274,165539045,14112373,901095857,407105107,61629146,12185785,19761069,198702477,360015216,62065786,319741079,446564371,32227936,55585858,214154063,1243,0,15252051,20044632,54233185,13102214,7922,209611363,3887135,97171238,3748432,52661306,0,330335794,37473718,9231,102227091,36913688,26798309,152780207,0,636136010,12657004,5257258,5276063,22628605,45093510,0,40098444,300989630,79198966,37276274,206643152,254063626,241176089,392176987,252360027,114059534,16483994,246119917,21716983,5330957,422464032,261088829,436252657,0,1589078,21440107,638577407,
