L_1007,L_1013,L_1041,L_1057,L_1058,L_1059,L_1060,L_1067,L_1068,L_1079,L_1080,L_1087,L_1092,L_1096,L_1098,L_1100,L_1101,L_1102,L_1103,L_1104,L_1106,L_1108,L_1110,L_1112,L_1113,L_1115,L_1118,L_1119,L_1124,L_1125,L_1126,L_1127,L_1129,L_1130,L_1132,L_1134,L_1135,L_1137,L_1139,L_1140,L_1141,L_1142,L_1143,L_1145,L_1147,L_1148,L_1149,L_1150,L_1151,L_1152,L_1153,L_1154,L_1155,L_1156,L_1159,L_1163,L_1164,L_1165,L_1167,L_1169,L_1170,L_1171,L_1172,L_1173,L_1174,L_1175,L_1176,L_1177,L_1178,L_1179,L_1180,L_1181,L_1182,L_1183,L_1184,L_1186,L_1189,L_1191,L_1192,L_1193,L_1194,L_1195,L_1197,L_1199,L_1200,L_1202,L_1204,L_1205,L_1206,L_1207,L_1209,L_1210,L_1211,L_1213,L_1216,L_1217,L_1219,L_1220,L_1221,L_1223,L_1224,L_1226,L_1228,L_1230,L_1231,L_1233,L_1234,L_1238,L_1239,L_1241,L_1243,L_1244,L_1245,L_1246,L_1248,L_1249,L_1251,L_1252,L_1253,L_1254,L_1255,L_1257,L_1261,L_1262,L_1263,L_1265,L_1267,L_1268,L_1270,L_1273,L_1274,L_1275,L_1277,L_1278,L_1279,L_1281,L_1282,L_1283,L_1284,L_1286,L_1287,L_1290,L_1291,L_1293,L_1295,L_1296,L_1297,L_1299,L_1300,L_1301,L_1303,L_1304,L_1305,L_1306,L_1307,L_1308,L_1311,L_1312,L_1313,L_1314,L_1315,L_1319,L_1321,L_1322,L_1323,L_1324,L_1325,L_1326,L_1327,L_1328,L_1330,L_1332,L_1333,L_1334,L_1336,L_1338,L_1339,L_1340,L_1342,L_1343,L_1344,L_1345,L_1346,L_1347,L_1348,L_1349,L_1350,L_1351,L_1352,L_1354,L_1355,L_1356,L_1357,L_1359,L_1360,L_1361,L_1362,L_1363,L_1364,L_1365,L_1367,L_1368,L_1369,L_1370,L_1371,L_1373,L_1374,L_1376,L_1378,L_1379,L_1380,L_1381,L_1382,L_1383,L_1384,L_1385,L_1388,L_1389,L_1390,L_1391,L_1393,L_1394,L_1395,L_1396,L_1397,L_1398,L_1399,L_1401,L_1402,L_1403,L_1404,L_1405,L_1406,L_1408,L_1409,L_1410,L_1411,L_1416,L_1417,L_1420,L_1421,L_1422,L_1423,L_1424,L_1425,L_1428,L_1429,L_1431,L_1433,L_1434,L_1435,L_1436,L_1438,L_1439,L_1440,L_1444,L_1445,L_1446,L_1449,L_1450,L_1451,L_1455,L_1456,L_1457,L_1458,L_1459,L_1460,L_1461,L_1462,L_1464,L_1465,L_1466,L_1467,L_1469,L_1470,L_1471,L_1473,L_1474,L_1475,L_1477,L_1478,L_1480,L_1481,L_1482,L_1483,L_1484,L_1486,L_1487,L_1489,L_1490,L_1491,L_1493,L_1494,L_1495,L_1496,L_1497,L_1498,L_1499,L_1500,time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/11/1 6:00
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120023084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90017674,0,0,0,30013008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054,0,0,0,0,7253,0,0,0,0,0,641,0,0,7772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180009109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90004157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8369,0,0,0,0,0,0,0,0,0,0,0,0,0,240008257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30008008,180005740,0,210012215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,0,0,0,0,0,3759,0,0,0,0,0,0,0,2017/11/1 7:00
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8583,180004316,0,4977,2290,0,13280,0,0,3404,0,360021782,0,0,0,0,0,420022895,270017430,0,3394,60011533,0,0,1104,180004067,0,540044317,0,180007655,240006888,0,0,0,0,180012722,992,2144,0,0,10326,0,0,0,0,90007096,390019145,0,13342,0,0,0,0,30012748,0,0,0,0,120008187,120005178,0,0,90018448,120011862,1190,0,0,210012583,300025754,1708,60007120,0,6681,360016263,0,8516,2029,150013261,148,0,0,0,0,420014598,4337,2583,3477,0,0,0,0,823,2218,0,0,0,150013557,0,0,150028639,0,0,0,360043360,0,390034369,0,30014344,0,4178,0,7946,0,0,8972,0,0,0,240010840,390011893,0,0,0,0,0,9539,0,0,0,0,0,270010121,0,30012415,0,0,4277,0,4148,150007018,5646,0,0,0,240013988,0,60023190,0,24506,150011492,7884,0,0,5623,0,9914,2220,0,0,0,1383,0,3278,2737,0,4027,240008876,150013195,0,0,10609,90015846,0,150014244,0,5606,0,0,4655,4155,0,0,8526,0,0,0,0,0,0,0,0,4281,0,0,0,120021555,0,0,150016974,0,0,150008530,2092,0,0,360013574,270023194,0,0,673,210020069,3704,6741,0,0,180011888,0,120009672,6455,30011526,210010660,0,0,3884,180014079,480023951,0,0,1162,0,3145,9496,3317,0,0,0,120015149,3565,0,0,0,0,0,4404,6627,0,0,330015424,390026539,8221,210016574,0,794,0,0,0,0,30020864,0,180007860,0,240006530,0,0,0,180022407,0,2450,420012960,0,4692,120011671,4106,0,0,360033976,7406,90012143,2080,19077,2581,0,0,0,0,2017/11/1 8:00
0,161,0,0,4222,0,18404,0,8425,210018054,2429,0,12703,90006435,180013873,7461,2566,240007432,12826,56493,360014240,68626,101,150012285,210026695,330017657,0,0,88402,0,3932,4780,180009301,10070,420025484,11181,1397,57935,150021795,23367,7409,300026097,4236,180016131,180027382,120010209,0,3632,330015589,300019826,300023142,30009806,150008562,15466,330018876,2101,210004641,140,90024393,270028063,339,210023104,360026533,2650,0,0,120023848,420027377,210013286,390015811,0,7459,150018973,6450,68596,182,450035514,240025568,270023002,150015276,0,0,120005900,30021882,3661,4413,90008051,4997,926,270011365,210024559,20105,240033925,32752,5387,210010571,3759,5656,240021294,240009833,8226,4949,690038604,0,5676,357,210019728,0,0,5581,3497,150024422,7989,4933,134107,68658,107,3924,145370,8168,0,330024178,4145,30028331,240034780,14041,150025283,3571,480036805,7517,7131,210019425,4116,90011552,11379,20943,30014730,19470,14364,420017280,0,0,30004623,0,107,19050,210011559,240023446,63663,12535,240020024,240019667,210015006,60011316,360011683,120012210,4722,1485,120005509,10612,6353,420009696,150016051,480033028,570019112,150014210,4671,330015691,151,450039135,13443,2586,4645,420023296,3608,1932,5596,30002838,0,1615,30008259,10452,0,54245,60004166,31412,360026282,330022758,0,11767,30011423,450019270,19343,150042253,2111,3516,26219,0,180002849,60002915,30029901,9188,114367,112530,1529,330017351,704,8566,279,240014182,702,120012624,22119,22667,60010339,180001876,270016630,1318,240005877,150010625,1981,60022077,598,11501,240029907,547,22232,180006690,4233,15465,270020273,3039,7398,210008775,120023258,210009142,6254,180015250,180015097,30009400,180000665,150012327,120021474,0,240026659,60026482,18134,22039,0,12781,630040884,30007169,4150,0,480018193,120012792,1526,210008867,450012878,5452,0,210010335,4855,4251,300018962,270026745,180011048,180016038,30015618,420027664,90021357,8528,44898,10045,360029517,0,189490,240009249,90020280,40400,0,540023387,210016137,30010791,60022715,28765,21483,240013732,10428,240013988,420019821,30015516,14926,330016620,570029399,420032234,115,0,180006739,2017/11/1 9:00
0,339570,0,41300,111569,0,31957,0,115643,1371,6417,0,139,106924,83142,450124021,145787,0,150993,323089,330003318,121448,556882,62307,169419,66445,605376,6690,466081,0,162883,87287,218409,145,66249,439624,12983,277512,0,53903,82825,36736,161038,0,315785,0,785468,119076,109582,23126,113463,276359,22614,133451,82242,117564,0,451352,105681,171,207842,134554,267230,0,420107451,97705,148,1510,0,146747,0,148381,70971,182,35016,138047,100136,0,162161,124,204945,225766,23724,105429,2904,25868,86721,138250,0,141678,109359,145015,0,93385,149138,1165,183922,152,0,186028,0,379108,118,0,0,8465,923,0,181916,83265,138158,46093,143010,210106484,451201,632302,207805,106996,88945,184,299345,5508,20821,64974,296,0,34437,0,164,60088920,159956,135665,132680,61151,133022,0,0,0,1580,62830,203968,10415,4333,28206,562667,75665,0,61457,261833,0,420023767,120,120015167,92065,38302,220564,31010,106121,236459,150034508,327170,32920,108742,0,32518,180011073,55661,240048117,126313,18420,152124,49189,81267,10554,34740,234827,0,42123,146497,0,117058,101143,37505,115115,223395,231569,151776,0,192536,322855,30260,0,0,157614,209561,134,155283,367070,203465,36375,98656,290578,137,190570,377561,107661,0,60156284,184755,0,128388,170588,1144,0,159470,178247,246,0,228429,154230,96864,240066429,432,42069,76491,37900,56964,92062,105389,119600,0,20507,18961,53321,0,12225,91195,190525,61411,33178,0,137851,174,57992,55415,93750,2010,148722,274861,24173,0,96410,13074,46192,53147,120117149,210010584,57962,85716,212217,346856,72244,120001024,11100,713,7942,242174,114,0,278,105,0,182738,155041,0,79391,201104,85686,254824,27861,149844,0,180167759,210010368,242013,101855,0,218503,186,53636,78865,64771,213457,112604,0,53577,124397,184731,266397,2017/11/1 10:00
0,17725,0,120604944,120545103,343061,450204890,0,120474155,60151974,180454905,0,240627514,60649696,406156,210555237,391395,150293478,750638439,106803,600414178,381362,589571,570683337,150351115,750471094,299681,917515,99133,0,30468539,750121644,150303773,822238,240538531,450492323,360439763,0,420242498,90317106,150962897,254181,736005,90376671,248079,180786252,240425,466787,540561609,125661,630574294,210587737,180181985,210199174,60297397,330581289,60721856,317207,330540983,930239636,527233,305593,480607575,240527105,331477,30473922,1067864,240529747,60631304,787491,0,150533017,330341737,522485,211101,343573,210398392,193808,600747038,420249485,270163156,270598348,150372779,210182425,396308,180281156,840046800,180341260,120945749,60581547,120357182,150264320,270427181,349449,120019322,300439119,467854,120841571,186568,598183,450263440,169205,377709,0,496673,420243210,89782,0,240507679,398598,810683405,270541958,653082,227851,221205,279362,211545,180121374,230916,60460071,413090,510371603,210430396,366870,570848307,580874,120352766,399264,751824,300204080,514849,420166900,570849547,390551465,216101,660068602,185269,360696476,210313779,900071134,240550687,90365895,622878,318523,315340,630742503,105283,330370797,126976,286847,360058371,707590,450093067,180565294,660761118,450259997,270346043,646546,300149588,411657,360423819,30350714,90419793,570556956,30719861,180245815,66705,180405427,493401,360479882,210417054,391727,150594026,210422640,240366757,400790,210195215,60877595,437834,22781,90052435,120084990,293615,186508,769106,300518399,742837,180990991,210249211,90227599,300585066,210529081,360580938,60455539,764890,240455842,630315971,435484,607224,360419966,173807,228713,536324,187741,188910,270166247,120365860,150473424,538539,570726997,436370,120468023,120260733,441959,783320,210389934,30165139,60565901,360154077,540534846,1020415491,812651,525372,150059019,240329148,360258542,300450316,718656,60288386,780330067,240265368,690219719,390100452,30112587,409501,300362254,120438820,706592,120212617,240815014,458386,180290629,180583357,120771248,210325324,330875491,300118225,20601,517674,210775974,360656626,570346190,471662,275039,90637327,855297,208817,626852,180317814,90493204,190617,240519407,210641230,510499071,210541144,240219418,360623932,241070603,60707075,90628103,360494413,310277,277354,180426515,180467224,120745761,379870,240639333,420274523,420476345,420211365,570753343,90263010,522450,120190084,270072907,150827961,60490047,60521770,330420637,258192,579926,364579,60024692,330236087,181138405,373846,600084,450534068,2017/11/1 11:00
0,136799,0,180273,330291667,164742,36491,858654,269178,371697,269093,0,876525,364193,60690087,203831,307020,90927197,175687,460809,228878,269997,81742,420575489,630287006,370173,519414,120155178,435095,0,262760,120427327,450092372,31892,60310117,450149148,363895,378484,240126690,210380168,161741,565729,470555,180106016,646800,157097,415257,532673,224873,180302927,311962,171974,581771,289878,193086,86741,426554,175883,492161,10366,480136459,133399,463184,330119226,270199788,210244723,450436489,240624245,575963,90693992,0,90212877,330788,360494,261714,582622,124155,180270281,270284779,420204386,707652,150710759,324533,300135406,181764,240571205,85298,240214435,90215859,442202,285039,174712,90096422,181531,496045,240297254,180339171,637254,90084842,750183555,258639,235002,143314,0,280035,150224550,600533503,0,318765,180479973,120323790,282213,132680,380671,212906,319890,576452,240029512,339642,488167,98,82609,270387197,287359,240532067,493157,197728,455381,210450740,336847,300485869,207879,402556,150285425,233894,210076045,224202,90276405,607089,270241740,420141365,207697,215883,55937,354286,120259715,564673,447335,211581,420219525,417238,249662,235101,408520,30128684,90331135,314902,474787,30349662,329608,357587,656381,450512008,162897,270386798,72351,330607434,251527,113290,441879,120165146,210166391,210443785,210101206,90111433,148225,204914,180156643,113872,240422001,60146268,330279577,267798,254814,450255553,240224261,153164,69742,240707938,150196662,221185,168097,510789823,281016,270250304,30328922,266060,210644,30121619,414049,420467,281981,416938,408057,3213,347977,166625,378421,389744,371295,210365514,128722,210519285,337991,598133,270186873,540542,323539,150256086,120086667,174958,391025,270478491,783646,297905,374437,244437,300389030,150661101,210153572,90347929,254840,60110329,240679142,633813,599819,370079,420231255,420097571,398378,232246,270128619,150256977,296815,420985,178020,74681,309999,548702,233079,180359933,390700058,300860,144391,90581400,236412,240320606,234936,275902,120215130,83724,255503,113685,180714679,114484,116161,125357,279143,120140660,359430,446633,360412008,26226,60307606,300467137,250993,305995,600629189,417341,376087,630315,330230063,190732,424686,304793,240386248,150238248,150152803,30512621,456674,300944,49247,82512,240339425,105020,431497,316250,393640,380194,2017/11/1 12:00
0,0,0,154387,79056,429073,159289,1419872,667868,105300,214400,0,62307,31788,451036136,225151,295388,20803,52958,452235,238597,146869,82731,31685,84888,43731,517076,160176,343906,0,37675,197420,34466,74786,92208,262733,141287,93853,60142865,15609,118105,101814,3309,180115280,33247,13968,105423,268408,240154784,64648,208125,30143248,107124,278362,2592,243751,96082,217060,61381,376783,180006679,210114194,225063,47262,47877,210147353,180181776,4876,189702,143276,0,213133,232007,0,391904,156343,271254,279475,436615,88854,80795,33693,74143,147416,30041514,70721,199312,331013,155117,64688,1052,174795,15354,351071,380720,213774,210011896,56261,21072,225751,0,10804,213799,0,240109589,261947,38397,0,227201,0,200083,150856,180084536,115865,158881,239064,178703,240054065,24954,200196,63677,109218,298048,68907,249744,419399,123326,79066,47832,20293,9083,128355,29557,86744,94381,183306,138389,74600,8073,99887,90206693,136347,60127132,155276,52951,82715,239249,173021,152944,53673,280520,150166668,203919,300322,233203,379316,175963,84793,2342,72517,26580,147954,90322340,34947,136305,79225,183740,24215,93260,271097,276706,166050,30358,204201,405303,322366,153269,74583,51743,328606,540167729,150236658,108989,228426,210311837,8361,128204,152811,240210199,129635,150101130,60481,41596,285942,33617,270156054,106699,78322,330082763,79627,250101,205529,183636,57553,5529,99953,142628,343316,80575,153459,133379,188317,45299,56451,88621,222317,108813,202829,147891,284799,350585,300340,57404,206615,58294,149407,56706,251027,147639,210167828,11317,297403,43660,327422,180045691,67917,210085341,84471,109964,40055,68884,60236428,75310,297274,221449,108539,70379,110289,120040,94308,505988,279856,265428,30886,17392,236304,11300,80730,150226884,126435,7781,60139335,7054,120121158,210112063,66402,37846,20579,167966,70166,311885,295079,156286,139817,56197,106783,809123,145152,175403,414950,2354,30079220,101770,150096707,240292669,190732,35408,134999,64167,108553,43361,110587,226614,166910,111930,497923,186534,38994,29061,2017/11/1 13:00
0,439913,0,236009,0,541480,10535,0,0,89440,420017567,0,360599429,0,28935,507073,30180928,30589197,120402428,358666,180326950,5612,0,0,212274,271046179,145951,240010057,361807,0,1106746,138243,570125687,451023528,456828,241331792,60342561,0,270559474,690615,360191818,120568597,90306808,5421,210156505,87982,357741,240010937,534134,1411692213,210257106,228031,76498,438025,390167358,570188286,372012,501070,210265563,347962,748532,330181482,480585758,14267,240190752,198017,540225971,180009459,390160380,476683,0,73050,540269428,169583,92901,94346,213937,553683,191711,50001,6603,0,240434039,30203511,0,302702,120068578,660477259,101882,210021338,574525,60354227,150330040,69070,630047768,204122,30031727,220789,372021,210923997,450767761,143681,662779,0,240088789,456059,353025,0,25193,4869,30127272,70777,330413762,120495805,79902,433943,97660,150704730,171801,150143894,40450,420341930,317691,450175385,480694544,434106,119672,257794,330375,233642,96342,887054,8487,123249,210083813,96051,76839,60030189,197966,16534,144787,174451,360201923,22726,0,86004,1080093775,269802,611884,322408,288882,630343624,197293,0,150299553,164921,330051857,275381,85503,158,139623,33644,120104070,210173161,91853,120299775,60160829,150375239,248183,278253,637801,121,300231133,670392,150299316,165136,203840,390065219,86279,316794,60232575,216240,165945,46362,600875769,31926,204568,360041059,132152,90657160,30373080,360018811,523361,690827087,49927,330437901,30311807,421388,428112,59647,120364433,130,0,2057,170063,150701154,0,120629,313039,150188339,113252,90361395,330009552,47666,102597,34795,505,214671,384477,90612802,510930185,150234368,73930,180479112,309599,150847187,270224956,180217195,0,150714497,73564,0,205138,420032172,180425760,107475,246958,121681,207566,85637,450025327,60310304,30385761,185873,450537640,210599849,270236588,187389,411382,510095973,256608,330220007,0,396048,150692791,134984,210006611,90370476,240340997,84483,493315,300811886,120039818,178426,990213506,120821,330306334,139538,90435543,0,16115,271062888,0,421496,36332,199569,948693,210034118,974677,360139732,367,25357,240133508,180012681,13609,810489355,63591,293975,270307263,24573,524925,720599,619445,720617848,83546,360127171,0,81434,536371,2017/11/1 14:00
0,91406,0,60111138,1432,60261220,210027839,0,0,157229,450115802,0,240318607,60130566,0,270553520,2650,299719,40325,1074629,711910,541586,207295,4667,584163,436804,190019,360250023,519134,0,60045764,570099930,210238010,180706807,170560,120291943,541948,351544,433998,97070,300035447,330270407,240068487,90117407,182632,330277462,425184,0,39641,0,660441597,239907,0,120619678,300273392,235417,92539,271279,450210807,298800,321477,330198960,811292,180022945,450207713,210085963,352691,95210,30058573,0,0,148062,5244,30297050,131532,228027,29886,479043,240731815,489204,42795,0,330928418,120084581,86334,48031,60044445,373135,73653,2707,648071,210009957,4006,300846,30025636,330102490,120260777,270335637,307694,274913,90901432,173804,210620872,0,90248109,510514035,73375,0,45665,638594,660383124,18744,160619,368310,337310,566051,247656,68958,5397,330095505,147952,1282138,690048016,30334716,60218524,215881,600035469,232179,914429,60112380,600034958,948102,4416,159636,706570,390153953,324002,0,0,436,150420991,210292834,90317190,249221,238983,298321,120014018,6601,125487,441620,900361,322125,41773,60545,34284,333947,180124641,492731,28750,30006231,240318976,210389264,210120154,30258102,480520497,30141626,420155486,210333540,116837,188395,240409650,60217235,98796,210124451,150210035,388633,229800,241812,0,536867,390613,210837449,84421,0,450636097,150363661,91749,90007087,300180510,690071126,240657962,85627,240357820,30252568,76252,240273733,180151022,270119,150231202,120085310,329154,260671,0,58167,77002,1132508,240022603,6222,877453,270539222,216715,90385392,330145695,408703,600330114,150225604,180156715,497758,30039572,330397975,508573,210158719,151239,150372167,90103683,282860,390300993,120138780,78460,450361270,480059635,30048560,270148801,353212,26764,168501,214758,240063974,158293,120537474,106905,157448,30159197,11303,240509500,461213,781775,369819,447932,60271861,46519,0,240188303,178050,481564,120173570,4983,240287154,123848,120104150,26941,451952,0,150324228,420340796,1483,60087189,189106,222736,316620,0,203275,104853,210155441,67859,120384910,626567,0,240517202,930523101,270245999,90553505,120449813,132595,150048529,330691357,30143908,240299637,300275508,180072666,120460734,117929,633931,180366825,360203110,0,23646,204970,90105,2017/11/1 15:00
