day,yuangong,shang,xia,error
1,1007,0,0,0
1,1013,0,1071522,121604568
1,1041,0,0,0
1,1057,1,332355627,635554456
1,1058,0,451614385,985402360
1,1059,0,62871570,493921626
1,1060,0,1440844023,2024677110
1,1067,0,2278526,192813890
1,1068,0,121535269,1046375957
1,1079,0,1112313593,1507338964
1,1080,1,1981600128,1257279943
1,1087,0,0,0
1,1092,0,1023799226,2213422141
1,1096,0,931746890,405590684
1,1098,1,692266912,1114217867
1,1100,1,1952862154,1759498182
1,1101,1,212193882,1389323770
1,1102,2,903720698,1772337758
1,1103,0,932543008,1251196989
1,1104,0,4470299,431007223
1,1106,0,1862829785,1393769346
1,1108,0,1769743,204994304
1,1110,0,1994651,184794468
1,1112,0,1141566815,973654400
1,1113,1,1083102432,1734985059
1,1115,0,2404556106,1468845935
1,1118,0,3067111,296655673
1,1119,1,1292377948,985000045
1,1124,0,2484690,202485738
1,1125,0,0,0
1,1126,2,812967359,935670154
1,1127,0,2701156627,1637787166
1,1129,0,2011655197,1733553603
1,1130,0,692795237,1189888595
1,1132,1,1022775264,940379854
1,1134,1,1323722154,2273826166
1,1135,1,663102251,880486884
1,1137,0,1558312,198678390
1,1139,0,1262488181,1567821810
1,1140,0,782360704,1685096283
1,1141,1,1472659812,1547962500
1,1142,0,2102751436,2325102222
1,1143,2,782199789,811840078
1,1145,1,1351472658,1702552446
1,1147,0,722767254,1218938895
1,1148,0,692791372,333574699
1,1149,0,3193881,286937180
1,1150,0,841854139,840912590
1,1151,0,1322614285,759635424
1,1152,0,2072241123,1350307044
1,1153,1,2012716770,1686672581
1,1154,0,992380900,1746287944
1,1155,0,751472362,510822896
1,1156,1,542841711,1443177830
1,1159,0,1411367484,1391591275
1,1163,2,932605623,984709112
1,1164,0,271912831,798679019
1,1165,0,4561845,463357327
1,1167,0,1083355695,2514201239
1,1169,2,1443728938,981018493
1,1170,0,1382860809,1335040876
1,1171,0,1321424112,1030232978
1,1172,1,1505008292,1237387246
1,1173,0,2131781837,2112496397
1,1174,0,1862145480,1129315872
1,1175,1,1622301256,2225222035
1,1176,2,1562773763,1909159797
1,1177,0,1742196135,1570987495
1,1178,2,692355707,557941982
1,1179,0,1202922236,1981319683
1,1180,0,0,0
1,1181,0,1382584644,2237024610
1,1182,1,1622440896,1646803329
1,1183,0,152283919,2027624628
1,1184,0,2888417,322634719
1,1186,0,2252145,248849231
1,1189,0,1261915321,1080099332
1,1191,1,1052886391,1905986418
1,1192,1,1382891636,1081843443
1,1193,0,1201502060,604485665
1,1194,0,782336169,836128474
1,1195,0,631581149,1204589871
1,1197,1,1562613740,2122175412
1,1199,1,901068364,1994207327
1,1200,1,331136323,1215353634
1,1202,0,693250466,688363544
1,1204,1,1381019866,2033348051
1,1205,2,1443159760,1613047347
1,1206,0,392204699,594104873
1,1207,0,1742291563,1668082234
1,1209,2,393096823,671028185
1,1210,2,1442505129,2194494228
1,1211,1,751437106,1645758799
1,1213,0,1378641,145385159
1,1216,0,901830255,1815453838
1,1217,0,2011762511,1876273169
1,1219,0,781761998,2381752684
1,1220,1,1293118875,1317611589
1,1221,1,571825709,1373684544
1,1223,1,1833599395,893588082
1,1224,1,1113757624,1848151149
1,1226,0,1371576,150283973
1,1228,1,1142976154,1430058903
1,1230,0,0,0
1,1231,1,901388196,2063209549
1,1233,0,1503144951,929101178
1,1234,1,1172163159,888944608
1,1238,0,0,0
1,1239,0,271890362,690878021
1,1241,0,752016323,1589971807
1,1243,0,2402568699,1327486064
1,1244,0,782299998,727343521
1,1245,0,511814377,1472405083
