day,yuangong,shang,xia,error
1,1013,1071522,121604568,0
1,1104,4470299,431007223,0
1,1110,1994651,184794468,0
1,1118,3067111,296655673,0
1,1149,3193881,286937180,0
1,1165,4561845,463357327,0
1,1184,2888417,322634719,0
1,1249,3605163,324612231,0
1,1251,2017808,168030971,0
1,1295,1745375,174645234,0
1,1300,2638240,299338654,0
1,1312,3371816,390995531,0
1,1363,2824153,306070588,0
1,1371,1078774,125279042,0
1,1378,4952469,452947191,0
1,1433,3465490,413777567,0
1,1473,3855806,395423550,0
1,1499,2046243,184178018,0
2,1013,0,0,0
2,1104,2814389,339562605,0
2,1110,2233938,247887078,0
2,1118,4314136,462720724,0
2,1149,1745506,181578286,0
2,1165,4309200,446783480,0
2,1184,3079737,324792754,0
2,1249,2059890,197441339,0
2,1251,2438551,250452217,0
2,1295,2266657,192813235,0
2,1300,0,0,0
2,1312,3916638,434257891,0
2,1363,4085767,328992332,0
2,1371,2517726,227816237,0
2,1378,2252495,222457686,0
2,1433,3820034,349042327,0
2,1473,4878041,443104521,0
2,1499,2109099,198531852,0
3,1013,2695682,278935330,0
3,1104,2378939,212800058,0
3,1110,3780297,402791178,0
3,1118,1979091,214572353,0
3,1149,4719757,466737834,0
3,1165,2683014,254867906,0
3,1184,0,0,0
3,1249,2008096,253533254,0
3,1251,2454919,212811125,0
3,1295,2166185,229418071,0
3,1300,2473636,314125428,0
3,1312,4152547,418073574,0
3,1363,2867260,269193638,0
3,1371,2298584,204511004,0
3,1378,4097400,359456862,0
3,1433,2493263,202602155,0
3,1473,2602685,171032555,0
3,1499,2788070,232627184,0
4,1013,0,0,0
4,1104,0,0,0
4,1110,0,0,0
4,1118,0,0,0
4,1149,0,0,0
4,1165,0,0,0
4,1184,0,0,0
4,1249,0,0,0
4,1251,0,0,0
4,1295,0,0,0
4,1300,0,0,0
4,1312,0,0,0
4,1363,0,0,0
4,1371,0,0,0
4,1378,0,0,0
4,1433,0,0,0
4,1473,0,0,0
4,1499,0,0,0
5,1013,0,0,0
5,1104,0,0,0
5,1110,0,0,0
5,1118,0,0,0
5,1149,0,0,0
5,1165,0,0,0
5,1184,4491611,430040648,0
5,1249,0,0,0
5,1251,0,0,0
5,1295,0,0,0
5,1300,2235418,207142089,0
5,1312,0,0,0
5,1363,3645295,352319646,0
5,1371,0,0,0
5,1378,0,0,0
5,1433,0,0,0
5,1473,3479667,329802830,0
5,1499,2862040,315564724,0
6,1013,3279120,316018390,0
6,1104,1861490,203217289,0
6,1110,2908253,247469323,0
6,1118,1788771,200595051,0
6,1149,2614375,216048366,0
6,1165,2927739,374883705,0
6,1184,5573511,470295353,0
6,1249,2409941,257494584,0
6,1251,4110687,327559795,0
6,1295,2752874,293911875,0
6,1300,1841267,133594854,0
6,1312,2516351,242864548,0
6,1363,3398725,306059593,0
6,1371,3050134,278568013,0
6,1378,3867493,288477146,0
6,1433,1498041,131690073,0
6,1473,1839597,246761641,0
6,1499,5082968,471880958,0
7,1013,3872847,445184056,0
7,1104,3127579,320823885,0
7,1110,0,0,0
7,1118,0,0,0
7,1149,3784160,341131681,0
7,1165,4899067,472873078,0
7,1184,2724014,238239838,0
7,1249,5060845,433137722,0
7,1251,1916972,222074284,0
7,1295,1814495,185032667,0
7,1300,3758739,382726774,0
7,1312,2011575,245093669,0
7,1363,1028411,141409391,0
7,1371,2475043,336918783,0
7,1378,2852111,365001357,0
7,1433,2167717,277873393,0
7,1473,4367729,415614536,0
7,1499,2746203,280114581,0
8,1013,1453220,141181301,0
8,1104,2260754,196630540,0
8,1110,2981506,302569122,0
8,1118,3916494,304850178,0
8,1149,3301778,298392292,0
8,1165,4252157,466658144,0
8,1184,3585974,303679388,0
8,1249,2973193,271586352,0
8,1251,4289977,492154084,0
8,1295,1121700,158817140,0
8,1300,2784263,251401901,0
8,1312,2556392,259788584,0
8,1363,2151637,255990709,0
8,1371,3844628,377213433,0
8,1378,3008482,312057380,0
8,1433,3546064,336525240,0
8,1473,4883271,566993972,0
8,1499,3575800,387763645,0
9,1013,2504766,253511171,0
9,1104,4035149,361097743,0
9,1110,2577661,282911413,0
9,1118,3195291,381854446,0
9,1149,1669423,208225209,0
9,1165,1948296,214564342,0
9,1184,3674873,310046090,0
9,1249,2401777,240240064,0
9,1251,2722818,379684894,0
9,1295,1942953,177367706,0
9,1300,4692547,454906780,0
9,1312,4418828,449795281,0
9,1363,4025661,419878789,0
9,1371,4184819,405722539,0
9,1378,2505650,247848284,0
9,1433,1747284,186075078,0
9,1473,1570943,184222576,0
9,1499,3752017,390103470,0
10,1013,0,0,0
10,1104,2561738,300750352,0
10,1110,2173508,238914082,0
10,1118,1751169,193497617,0
