proto,dip,dport,sip,sport,state,time,user
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 09:58:48.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 10:40:34.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 10:41:55.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 10:49:32.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 11:25:42.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 11:26:56.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 12:01:34.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 12:14:00.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 14:43:57.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 14:51:53.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 15:09:11.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 15:10:29.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 15:22:15.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 15:39:11.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 16:21:26.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 16:30:17.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 17:08:55.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 17:36:17.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 17:39:44.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 18:10:04.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 18:27:25.,1080
ssh,10.50.50.44,22,10.64.105.4,49195,error,2017-11-03 19:07:12.,1080
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 09:50:35.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 11:00:40.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 11:05:31.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 11:30:19.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 11:52:53.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 12:20:24.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 12:29:41.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 12:41:38.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 13:02:42.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 14:56:28.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 14:56:42.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 15:51:05.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 15:55:10.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 16:12:34.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 16:36:33.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 17:32:00.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 17:32:43.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 18:24:58.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 18:30:01.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 19:30:52.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 19:46:05.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 19:57:21.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 20:10:59.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 21:43:43.,1211
ssh,10.50.50.44,22,10.64.105.4,49200,error,2017-11-04 21:46:28.,1211
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 10:07:44.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 10:17:49.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 10:21:58.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 10:27:00.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 10:37:59.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 11:35:17.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 12:11:20.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 12:30:49.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 12:41:51.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 12:50:15.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 14:09:27.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 14:09:48.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 14:33:35.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 16:11:30.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 16:34:31.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 16:42:07.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 17:00:33.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 17:38:03.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 17:50:01.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 18:49:43.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 18:58:32.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 19:16:50.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,error,2017-11-06 19:20:08.,1228
ssh,10.50.50.44,22,10.64.105.4,49197,success,2017-11-06 19:42:57.,1228
ssh,10.50.50.44,22,10.64.105.4,49210,success,2017-11-16 20:22:04.,1228
ssh,10.50.50.43,22,10.64.105.4,49173,success,2017-11-24 12:43:41.,1228
